SBER,227.35,278.23
SBERP,240.0,248.58
ROSN,438.5,442.25
WMT,145.75,145.87
INTC,50.26,50.42
VRTX,221.95,237.11
ACN,246.21,268.84
TPIC,41.66,46.39
MA,337.86,336.22
SPG,88.95,88.58
AMAT,84.01,87.77
LEVI,16.44,21.52
RDS.A,30.34,38.26
GM,40.33,41.66
AAPL,115.34,128.46
MSFT,216.43,219.02
QCOM,142.49,149.03
AMD,84.15,97.09
JNJ,145.07,152.65
PSN,30.0,35.87
NEE,74.0,75.18
CAT,168.0,179.47
SEDG,312.41,308.28
YNDX,5400.0,5151.6
ATVI,83.75,87.73
NFLX,543.0,531.05
